headline 	 snippet 	 date	name
Richard Witkin, 95, Witness to the History of Aviation, Dies	Mr. Witkin worked for The Times for three decades and was part of the team that won a Pulitzer for coverage of the Challenger disaster.	2013-11-10T00:00:00Z	Richard Witkin
William Moody, 58, Pro Wrestling’s Paul Bearer, Dies	Mr. Moody gained fame as the urn-carrying manager Paul Bearer for the pro wrestlers the Undertaker and Kane in World Wrestling Entertainment.	2013-03-12T00:00:00Z	William Moody
Sean Sasser, Who Was Half of One of TV’s First Gay Couples, Dies at 44	Mr. Sasser, a chef whose romance with Pedro Zamora on MTV’s “The Real World” was among the first real-life gay relationships on television, helped publicize issues about AIDS.	2013-08-11T00:00:00Z	Sean Sasser
Richard C. Sarafian, Director of ‘Vanishing Point,’ Dies at 83	Mr. Sarafian was a filmmaker whose 1971 car-chase thriller, “Vanishing Point,” earned him a loyal cult following.	2013-09-23T00:00:00Z	Richard C. Sarafian
Philip Chevron, Guitarist With the Pogues, Dies at 56	Mr. Chevron and his band found success by fusing traditional Irish music, rock and punk into a boisterous and exhilarating hybrid.	2013-10-09T00:00:00Z	Philip Chevron
Seeking Answers After Youth’s Death in Police Stop	Israel Hernandez-Llach, an 18-year-old skateboarder and artist in Miami Beach, died on Tuesday after the police used a Taser to subdue him.	2013-08-09T00:00:00Z	Seeking Answers After Youth’s Death in Police Stop
Alvin Lee, British Blues-Rock Guitarist, Dies at 68	Mr. Lee and Ten Years After played at the Woodstock festival in 1969 and were in the movie “Woodstock” and on its soundtrack with “I’m Going Home.”	2013-03-07T00:00:00Z	Alvin Lee
Michael Winner, ‘Death Wish’ Director, Dies at 77	Mr. Winner, a British director who specialized in violent action movies, partnered with Charles Bronson for several films.	2013-01-22T00:00:00Z	Michael Winner
Michael Winner, ‘Death Wish’ Director, Dies at 77	Mr. Winner, a British director who specialized in violent action movies, partnered with Charles Bronson for several films.	2013-01-22T00:00:00Z	Michael Winner
Daniel Hoffman, Poet Laureate Versatile in Many Forms, Dies at 89	Mr. Hoffman was the nation’s poet laureate from 1973 to 1974, and his books include a collection of sonnets and an epic poem about the founding of Pennsylvania.	2013-04-05T00:00:00Z	Daniel Hoffman
Tom Laughlin, 82, Star of ‘Billy Jack’ Movie Series, Dies	Mr. Laughlin wrote, directed and starred in all four of the films, based on an amalgam of cowboy archetypes, Asian martial-arts film archetypes and his image of himself.	2013-12-17T00:00:00Z	Tom Laughlin
Lawrence Goodwyn, Historian of Populism, Dies at 85	Dr. Goodwyn’s experience building cross-racial political coalitions in the 1960s led him to write an authoritative history of the rise of American populism in the 19th century.	2013-10-05T00:00:00Z	Lawrence Goodwyn
Steuart Pittman, Head of Fallout Shelter Program, Dies at 93	Mr. Pittman was appointed by President John F. Kennedy to create enough shelters to protect every American in the event of a nuclear attack.	2013-02-19T00:00:00Z	Steuart Pittman
U.S. Captive of Al Qaeda Makes a Plea to Obama	In a video message, Warren Weinstein, who was abducted in 2011, said that the United States had abandoned and forgotten him.	2013-12-27T00:00:00Z	U.S. Captive of Al Qaeda Makes a Plea to Obama
France: Man Dies From New SARS-Like Infection	A 65-year-old man infected with a virus causing SARS-like symptoms died Monday, health authorities said, the first French patient to be killed by the condition.	2013-05-29T00:00:00Z	France: Man Dies From New SARS-Like Infection
Leonard Marsh, a Founder of Snapple, Dies at 80	Mr. Marsh was a longtime chief executive of the beverage company, now part of the Dr Pepper Snapple Group.	2013-05-23T00:00:00Z	Leonard Marsh
Texas Official Questioned in Killings Is Held Over Alleged Threat	Eric L. Williams, a former Texas justice of the peace who was convicted of theft and prosecuted by the district attorney who was fatally shot last March, has been charged with making a terroristic threat.	2013-04-14T00:00:00Z	Texas Official Questioned in Killings Is Held Over Alleged Threat
Ruth Ann Steinhagen Is Dead at 83; Shot a Ballplayer	Ms. Steinhagen’s 1949 shooting of the Phillies’ Eddie Waitkus made its way into the novel “The Natural” and its film adaptation.	2013-03-24T00:00:00Z	Ruth Ann Steinhagen Is Dead at 83; Shot a Ballplayer
Leonard Marsh, a Founder of Snapple, Dies at 80	Mr. Marsh was a longtime chief executive of the beverage company, now part of the Dr Pepper Snapple Group.	2013-05-23T00:00:00Z	Leonard Marsh
Texas Official Questioned in Killings Is Held Over Alleged Threat	Eric L. Williams, a former Texas justice of the peace who was convicted of theft and prosecuted by the district attorney who was fatally shot last March, has been charged with making a terroristic threat.	2013-04-14T00:00:00Z	Texas Official Questioned in Killings Is Held Over Alleged Threat
Ruth Ann Steinhagen Is Dead at 83; Shot a Ballplayer	Ms. Steinhagen’s 1949 shooting of the Phillies’ Eddie Waitkus made its way into the novel “The Natural” and its film adaptation.	2013-03-24T00:00:00Z	Ruth Ann Steinhagen Is Dead at 83; Shot a Ballplayer
Falling Tree Shatters Lives and Dreams of a Family	Aleksander Dikov and his family are left reeling after his wife, Yingyi Li-Dikov, was killed by a giant tree in a Queens park. Her 6-month-old fetus did not survive.	2013-08-06T00:00:00Z	Falling Tree Shatters Lives and Dreams of a Family
Georges Moustaki, Poetic French Singer, Dies at 79	Mr. Moustaki, who wrote “Milord” for Édith Piaf, was known for his poetic sensibility and melancholy ballads.	2013-05-25T00:00:00Z	Georges Moustaki
Otto Beisheim, German Retailing Pioneer, Dies at 89	Mr. Beisheim, who introduced the concept of selling wholesale goods directly to German consumers and built the country’s largest retailer, Metro, was known as intensely private.	2013-02-22T00:00:00Z	Otto Beisheim
Tom Knapp, Crowd-Pleasing Sure Shot, Dies at 62	Mr. Knapp broke world records by picking off flocks of airborne clay targets with the flair of a western movie hero.	2013-05-04T00:00:00Z	Tom Knapp
Dwike Mitchell, Zealous Jazz Pianist, Is Dead at 83	Mr. Mitchell and his playing partner, Willie Ruff, helped to popularize jazz in places like China and Russia.	2013-04-27T00:00:00Z	Dwike Mitchell
Bigas Luna Dies at 67;&#xd; Spanish Film&#x2019;s Shepherd	Bigas Luna, an iconoclastic film director who emerged after the Franco dictatorship to portray the new Spain as engagingly and perplexingly robust and later discovered the stars Pen&#xE9;lope Cruz and Javier Bardem, died on Saturday at his home in Ta	2013-04-12T00:00:00Z	Bigas Luna Dies at 67;&#xd; Spanish Film&#x2019;s Shepherd
Pietro Mennea, Sprint Champion, Dies at 60	Mr. Mennea, who won a gold medal in the 200 meters at the 1980 Moscow Olympics, held the world record in the event from 1979 to 1996.	2013-03-22T00:00:00Z	Pietro Mennea
Otto Beisheim, German Retailing Pioneer, Dies at 89	Mr. Beisheim, who introduced the concept of selling wholesale goods directly to German consumers and built the country’s largest retailer, Metro, was known as intensely private.	2013-02-22T00:00:00Z	Otto Beisheim
California: Suspect in 6 Killings Is Dead	The lawyer for a man who was awaiting trial in six homicides said his client died after eating Ajax cleanser in his jail cell.	2013-11-30T00:00:00Z	California: Suspect in 6 Killings Is Dead
Behind the Cover Story: Robin Marantz Henig on Making End-of-Life Decisions (and Changing Your Mind)	The author of this week’s cover article answers questions about what happened when Peggy Battin’s right-to-die activism turned personal.	2013-07-22T06:11:05Z	Behind the Cover Story: Robin Marantz Henig on Making End-of-Life Decisions (and Changing Your Mind)
Henry Prunier, 91, Dies; &#xd; Was Part of U.S. Mission&#xd; To Train the Viet Minh	Henry A. Prunier taught Vo Nguyen Giap, the Vietnamese general who withstood the armies of France and the United States, how to throw a grenade.&#xa;   &#xa;The lesson came in July 1945, after Mr. Prunier and six other Americans had parachuted into a	2013-04-24T00:00:00Z	Henry Prunier
Shadow Morton, Songwriter and Producer, Dies at 71	Mr. Morton, with songs like “Remember (Walking in the Sand)” and “Leader of the Pack,” helped propel the Shangri-Las, a 1960s girl group from Queens, to stardom.	2013-02-16T00:00:00Z	Shadow Morton
Eliot H. Lumbard, 88, Dies; Pursued Mob Leaders	Mr. Lumbard drew new attention to organized crime after pursuing mob figures who were found to be meeting together in a rural New York town in 1957.	2013-11-18T00:00:00Z	Eliot H. Lumbard
Bryan Forbes, ‘Stepford Wives’ Director, Is Dead at 86	Mr. Forbes had a string of screenwriting credits and was also an actor and an author, but he was best remembered for the film that endures as an artifact of high camp and even as a quasi-feminist document.	2013-05-09T00:00:00Z	Bryan Forbes
Bum Phillips, Homespun Coach Behind Oilers’ Rise, Dies at 90	Phillips took over a downtrodden Houston team and took it to two consecutive American Football Conference championship games.	2013-10-20T00:00:00Z	Bum Phillips
Günther Förg, German Artist Who Made Modernism His Theme, Dies at 61	Mr. F&#246;rg was a painter, sculptor and photographer whose work exemplified, toyed with, tweaked and commented on modernism.	2013-12-21T00:00:00Z	Günther Förg
Graham Mackay, Who Built Beer Empire, Dies at 64	Mr. Mackay helped transform South Africa’s biggest brewer into SABMiller, one of the world’s biggest beer conglomerates.	2013-12-19T00:00:00Z	Graham Mackay
David Rogers, Stage Adapter of Offbeat Material, Dies at 85	Among the works Mr. Rogers produced was the book for a musical based on “Flowers for Algernon” and plays based on “Brave New World” and “The Sting.”	2013-06-30T00:00:00Z	David Rogers
Leroy Bonner, Frontman of Ohio Players, Dies at 69	Mr. Bonner, the musician better known as Sugarfoot, had a string of hits in the mid-1970s, as well as a lasting influence.	2013-01-29T00:00:00Z	Leroy Bonner
Dick Dodd, Lead Singer of the Standells, Dies at 68	The Standells’ most famous song, “Dirty Water,” became a hit in the mid-1960s and the anthem of Boston sports teams decades later.	2013-12-05T00:00:00Z	Dick Dodd
Police Question Brooklyn Woman in Death of 19-Month-Old Son	The boy was found unconscious in an apartment in Flatbush and died at a hospital.	2013-10-07T00:00:00Z	Police Question Brooklyn Woman in Death of 19-Month-Old Son
Henry A. Prunier, 91, U.S. Soldier Who Trained Vietnamese Troops, Dies	Mr. Prunier, originally recruited by the Army as a translator, was part of a clandestine mission to teach 200 Viet Minh guerrillas how to use American weapons.	2013-04-18T00:00:00Z	Henry A. Prunier
Al Goldstein, a Publisher Who Took the Romance Out of Sex, Dies at 77	Mr. Goldstein, the publisher of Screw magazine, was first to present sex to his audience without the slightest attempt at classiness or subtlety.	2013-12-20T00:00:00Z	Al Goldstein
Candidate for President of Paraguay Dies in Crash	The death on Saturday of Lino Oviedo, 69, one of Paraguay’s most polarizing political figures, opens a new phase of uncertainty in one of Latin America’s most politically unstable countries.	2013-02-04T00:00:00Z	Candidate for President of Paraguay Dies in Crash
Richard D. Heffner, Host of ‘The Open Mind,’ Dies at 88	Mr. Heffner’s background as a historian helped him carve out careers in education, broadcasting and in rating films.	2013-12-20T00:00:00Z	Richard D. Heffner
William Miles, Maker of Films About Black History, Dies at 82	Among other topics, Mr. Miles, who specialized in unearthing lost material about forgotten subjects, made films about the history of Harlem and a black regiment that fought in World War I.	2013-05-19T00:00:00Z	William Miles
California: Man Charged in Deadly Fire	A former firefighter has pleaded not guilty to murder and arson in connection with a wildfire that killed one person and destroyed dozens of homes in rural Northern California.	2013-12-19T00:00:00Z	California: Man Charged in Deadly Fire
Andy Granatelli Dies at 90; Revved Businesses and Cars	Mr. Granatelli turned STP oil treatment into a national institution and shook up auto racing’s establishment with his innovations.	2013-12-30T00:00:00Z	Andy Granatelli Dies at 90; Revved Businesses and Cars
Chuck Smith, Minister Who Preached to Flower Children, Dies at 86	Mr. Smith, a Southern California minister, preached fire-and-brimstone theology to Jesus Movement hippies.	2013-10-14T00:00:00Z	Chuck Smith
David Hubel, Nobel-Winning Scientist, Dies at 87	Dr. Hubel was half of a team that studied how the brain processed information from the retina. The findings led to a better understanding of how to treat certain birth defects.	2013-09-25T00:00:00Z	David Hubel
Ray Dolby, Who Put Moviegoers in the Middle of It, Is Dead at 80	Dr. Dolby, who founded Dolby Laboratories, transformed cinema and home entertainment with the development of Dolby digital surround sound.	2013-09-14T00:00:00Z	Ray Dolby
William Glasser, 88, Doctor Who Said One Could Choose Happiness, Is Dead	Dr. Glasser, through “choice theory,” posited that people were in much more control of their lives than they realized in solving emotional and mental problems.	2013-09-06T00:00:00Z	William Glasser
James Gordon, Who Paved Way for Lasers, Dies at 85	Mr. Gordon was a 25-year-old graduate student in physics when he helped develop the maser, which would lead to the building of the first laser.	2013-07-30T00:00:00Z	James Gordon
Robert Barnard, Award-Winning Writer of British Crime ‘Cozies,’ Dies at 76	Mr. Barnard, the author of 40 novels, was an accomplished creator of the “cozy” genre, murder mysteries that feature picturesque settings, colorful characters and minimal violence.	2013-09-29T00:00:00Z	Robert Barnard
Mel Smith, TV Actor, Director and Producer, Dies at 60	Mr. Smith performed in TV and movies, directed films like “The Tall Guy” and helped found a production company with successful comedy shows.	2013-07-25T00:00:00Z	Mel Smith
Kentucky: Boy, 5, Kills Sister, 2	A 5-year-old boy accidentally shot his 2-year-old sister to death in rural southern Kentucky with a rifle he had received as a gift last year, the authorities said.	2013-05-02T00:00:00Z	Kentucky: Boy
Andro Linklater, Who Re-Examined American Frontierism, Dies at 68	The Scottish historian wrote “Measuring America,” which stressed government surveying of the westward expansion, rather than the lone-wolf perception of pioneers.	2013-12-04T00:00:00Z	Andro Linklater
Leland Mitchell, Who Defied Racism on the Basketball Court, Dies at 72	A decision by Mitchell and his teammates to play in a N.C.A.A. tournament despite opposition was widely seen as the beginning of the end of segregation in college sports.	2013-07-11T00:00:00Z	Leland Mitchell
Tom Sharpe, Darkly Satirical British Novelist, Dies at 85	Mr. Sharpe, whose books included “Porterhouse Blue” and the Henry Wilt series, used crudity and excess to  take on targets like racism, the aristocracy and academia.	2013-06-09T00:00:00Z	Tom Sharpe
Robert Holding Dies at 86; Held Vast Business Assets	Robert Earl Holding, a Western entrepreneur who made his first fortune in the 1950s running a 24-hour service station in an otherwise desolate stretch of Wyoming and became a billionaire whose assets included  oil  refineries and ski slopes, among th	2013-04-26T00:00:00Z	Robert Holding Dies at 86; Held Vast Business Assets
Robert Earl Holding, Wide-Ranging Entrepreneur, Dies at 86	Mr. Holding’s far-flung assets, including oil refineries, cattle, hotels and ski slopes, made him a billionaire.	2013-04-23T00:00:00Z	Robert Earl Holding
Herbert M. Allison Jr. Dies at 69; Led Bailout Efforts	Mr. Allison, a former Merrill Lynch president, was appointed to lead and help rescue a troubled Fannie Mae in 2008 and then ran a federal bank bailout program.	2013-07-17T00:00:00Z	Herbert M. Allison Jr. Dies at 69; Led Bailout Efforts
Lansing Lamont, Journalist and Historian of Atomic Bomb, Dies at 83	Mr. Lamont, who wrote and edited several other books, was a longtime correspondent for Time.	2013-09-16T00:00:00Z	Lansing Lamont
Morris J. Kramer, 71, Lawyer At Skadden Known for Deals	Morris J. Kramer, who as a longtime partner at the law firm of Skadden, Arps, Slate, Meagher &#x26; Flom helped revolutionize the practice of advising on mergers and acquisitions, died on Friday morning in Manhattan. He was 71. &#xa;   &#xa;The cause	2013-04-24T00:00:00Z	Morris J. Kramer
Alabama: Kidnapper Was Shot Multiple Times	Jimmy Lee Dykes, who held a 5-year-old boy hostage in Midland City for nearly a week before dying in a shootout with the F.B.I., received multiple gunshot wounds, a county coroner said Thursday.	2013-02-08T00:00:00Z	Alabama: Kidnapper Was Shot Multiple Times
Michael Weiner, Peacemaking Leader of Baseball Union, Dies at 51	Mr. Weiner forged agreements with baseball club owners that enhanced drug testing and brought years of labor peace to the game after decades of strife.	2013-11-22T00:00:00Z	Michael Weiner
Joseph Kelner, 98, Dies; Led Kent State Lawsuit	Besides Kent State, other high-profile cases included those of Bernhard Goetz, the subway vigilante, and a pair of fired baseball umpires.	2013-03-08T00:00:00Z	Joseph Kelner
Allan Calhamer Dies at 81; Invented Diplomacy Game	The objective of Mr. Calhamer’s game, reportedly a favorite of Henry Kissinger, is simple: to achieve world domination in as many hours (or days, or even years) as it takes.	2013-03-07T00:00:00Z	Allan Calhamer Dies at 81; Invented Diplomacy Game
Delbert Tibbs, Who Left Death Row and Fought Against It, Dies at 74	Mr. Tibbs, sentenced to death in 1974 for a murder and rape in Florida, was one of six people whose stories of wrongful conviction and near execution were told in the play “The Exonerated.”	2013-12-08T00:00:00Z	Delbert Tibbs
Joseph Eger, Horn Player and Activist, Is Dead at 92	Mr. Eger, a French horn player, was a conductor and advocate for progressive causes whose work sought to promote harmony in both senses of the word.	2013-01-23T00:00:00Z	Joseph Eger
Gary David Goldberg, Television Writer And Creator of ‘Family Ties,’ Dies at 68	Mr. Goldberg, a writer and producer, created warmhearted television shows, most notably the 1980s comedy that propelled Michael J. Fox to stardom.	2013-06-25T00:00:00Z	Gary David Goldberg
John Reilly, 74, a Champion of Documentary Video, Dies	Mr. Reilly — a founder of Global Village, a locus of underground video in Manhattan in the 1960s — taught and influenced countless documentarians.	2013-08-12T00:00:00Z	John Reilly
Fredrick L. McKissack, 73, Children’s Book Author, Dies	Mr. McKissack, with his wife, Patricia, wrote over 100 children’s books about African-American history.	2013-05-10T00:00:00Z	Fredrick L. McKissack
Richard L. Murphy, Who Aided Disadvantaged Youths, Dies at 68	Mr. Murphy helped tens of thousands in New York City through his community organization in Harlem and as the city’s youth commissioner.	2013-02-17T00:00:00Z	Richard L. Murphy
Lawrence G. Foster Dies at 88; Helped Lead Tylenol Out of Cyanide Crisis	Mr. Foster, the former vice president of public relations at Johnson & Johnson, helped formulate the company’s response to the multiple deaths related to cyanide-laced capsules of Tylenol.	2013-10-31T00:00:00Z	Lawrence G. Foster Dies at 88; Helped Lead Tylenol Out of Cyanide Crisis
Anthony Hinds, Who Scared British Moviegoers, Dies at 91	Mr. Hinds revived Hammer Films after World War II with monsters and werewolves, bankable stars and plenty of sex and gore.	2013-10-22T00:00:00Z	Anthony Hinds
Berthold Beitz, German Steel Industrialist Who Saved Jews, Dies at 99	Mr. Beitz was well known for his efforts to save hundreds of Jews and Poles from the Nazis while stationed in Poland during World War II.	2013-08-02T00:00:00Z	Berthold Beitz
Richard L. Murphy, Who Aided Disadvantaged Youths, Dies at 68	Mr. Murphy helped tens of thousands in New York City through his community organization in Harlem and as the city’s youth commissioner.	2013-02-17T00:00:00Z	Richard L. Murphy
Tom Christian, Descendant of Bounty Mutineer, Dies at 77	Mr. Christian, whose great-great-great-grandfather led the mutiny on the Bounty in 1789 and sought refuge on Pitcairn Island, kept the isle connected to the world.	2013-08-24T00:00:00Z	Tom Christian
Walt Arfons, a Pioneer With Cars Using Jet Engines, Dies at 96	Mr. Arfons, with his half brother, Art Arfons, built some of the fastest racecars of the 1950s and ’60s.	2013-06-16T00:00:00Z	Walt Arfons
Allan Block, Whose Sandal Shop Was Folk Music Hub, Dies at 90	Mr. Block helped popularize open-toed footwear, and his store in Greenwich Village drew musicians like Doc Watson and Bob Dylan during the 1950s and ’60s.	2013-11-03T00:00:00Z	Allan Block
Fredrick L. McKissack, 73, Author of Children&#x2019;s Books	Fredrick L. McKissack, who quit a career in construction to join his wife in writing more than 100 children&#x2019;s books about African-American history, a piece of which his family owned as distinguished builders and architects, died on April 28 in	2013-05-13T00:00:00Z	Fredrick L. McKissack
Calls to Charge Driver Grow After Couple’s Newborn Dies	The infant had been delivered prematurely after his mother and father were killed in a car crash in Brooklyn.	2013-03-05T00:00:00Z	Calls to Charge Driver Grow After Couple’s Newborn Dies
Joseph Farman, 82, Is Dead; Discovered Ozone Hole	Mr. Farman’s single-minded and at times officially derided study of atmospheric changes in the Antarctic led to one of the most important environmental discoveries of the 20th century.	2013-05-19T00:00:00Z	Joseph Farman
Clifford Nass, Who Warned of a Data Deluge, Dies at 55	Dr. Nass, a professor a Stanford, studied the effects of technology and in one pioneering study showed the deleterious effects of multitasking.	2013-11-10T00:00:00Z	Clifford Nass
Lawrence Fuchs, Expert on Immigration, Dies at 86	Mr. Fuchs, a scholar of American ethnicity, helped lay the groundwork for the last major overhaul of American immigration law, in 1986.	2013-04-07T00:00:00Z	Lawrence Fuchs
Rev. T. J. Jemison, Civil Rights Leader Who Organized Early Boycott, Dies at 95	Mr. Jemison organized what is considered the civil rights movement’s first large-scale bus boycott, and was a founding member of the Southern Christian Leadership Conference.	2013-11-26T00:00:00Z	Rev. T. J. Jemison
Bonnie Faubus Salcido, Who Opposed Segregationist Brother, Dies at 93	Mrs. Salcido criticized her brother Gov. Orval E. Faubus’s attempt to block the integration of an Arkansas school in 1957, leading to years of hard feelings between the two.	2013-05-24T00:00:00Z	Bonnie Faubus Salcido
Body of Missing U.S. Air Force Pilot Is Found	Capt. Lucas Gruenther, whose F-16 fighter jet disappeared Monday during a training mission, was found Thursday in the Adriatic Sea, his family said.	2013-02-01T00:00:00Z	Body of Missing U.S. Air Force Pilot Is Found
The Boston Victims	The explosions at the Boston Marathon and the ensuing manhunt took the lives of four people: three spectators and an M.I.T. police officer who was ambushed.	2013-04-18T00:00:00Z	The Boston Victims
Don Mitchell, a Co-Star on TV’s ‘Ironside,’ Dies	Besides playing Mark Sanger, the title character’s bodyguard-assistant on “Ironside,” Mr. Mitchell also appeared in the 1973 film “Scream Blacula, Scream” and on other TV series.	2013-12-14T00:00:00Z	Don Mitchell
Jorge Rafael Videla, Jailed Argentine Military Leader, Dies at 87	General Videla was serving a life sentence for abuses in a campaign of political killings and forced disappearances during Argentina’s so-called Dirty War.	2013-05-18T00:00:00Z	Jorge Rafael Videla
Jack Greene, 83, Grand Ole Opry Star	NASHVILLE (AP) &#x2014; Jack Greene, a longtime Grand Ole Opry star who earned fame with his hit &#x201C;There Goes My Everything,&#x201D; died on Thursday at his home here. He was 83.&#xa;   &#xa;The cause was complications of Alzheimer&#x2019;s dis	2013-03-20T00:00:00Z	Jack Greene
Focus Turns to Investigation in Fatal Bronx Train Crash	Investigators were trying to determine the cause of a train accident along one of the sharpest curves in the Metro-North system that injured more than 60 passengers and killed four.	2013-12-02T00:00:00Z	Focus Turns to Investigation in Fatal Bronx Train Crash
Kerry Meets With Parents of Diplomat Killed in Afghanistan	During his travels, Secretary of State John Kerry has repeatedly invoked the memory of Anne Smedinghoff, who died this month in a car-bomb attack.	2013-04-16T00:00:00Z	Kerry Meets With Parents of Diplomat Killed in Afghanistan
Rabbi David Hartman, Champion of an Adaptive Judaism, Dies at 81	A charismatic teacher and prolific author, he encouraged students to question tradition and urged people of different backgrounds and ideologies to pore over Jewish texts together.	2013-02-11T00:00:00Z	Rabbi David Hartman
Florida: Officer Put on Leave in Taser Inquiry	A Miami Beach police officer has been placed on paid administrative leave while the department investigates the circumstances surrounding a teenager’s death.	2013-08-10T00:00:00Z	Florida: Officer Put on Leave in Taser Inquiry
Pilot Is Found to Have Crashed Plane in Namibia Intentionally	Preliminary investigations into a November plane crash that killed all 33 people aboard showed that the pilot intentionally brought the Mozambique Airlines plane down, an aviation official said.	2013-12-23T00:00:00Z	Pilot Is Found to Have Crashed Plane in Namibia Intentionally
Gen. David C. Jones, Former Chairman of Joint Chiefs, Dies at 92	As chairman of the Joint Chiefs under Presidents Carter and Reagan, General Jones set in motion a sweeping reorganization of the nation’s military command.	2013-08-15T00:00:00Z	Gen. David C. Jones
Bernard Sahlins, Patriarch of Sketch Comedy, Dies at 90	Mr. Sahlins was the last survivor of the three founders of Second City, the Chicago nightclub that nurtured generations of comedians.	2013-06-18T00:00:00Z	Bernard Sahlins
United Nations Soldier in Sudan Is Slain	A United Nations peacekeeper was killed on Friday in Sudan’s main oil region when shells struck a logistics base, a United Nations spokesman said.	2013-06-15T00:00:00Z	United Nations Soldier in Sudan Is Slain
Ralph Graves, Who Strove to Keep Life Magazine Afloat, Dies at 88	As the last managing editor of the weekly Life magazine, Mr. Graves strove to keep an American institution afloat in its turbulent final years.	2013-06-16T00:00:00Z	Ralph Graves
James M. Nabrit, a Fighter for Civil Rights, Dies at 80	Mr. Nabrit was a longtime lawyer for the NAACP Legal Defense and Education Fund who argued for school integration at the Supreme Court.	2013-03-28T00:00:00Z	James M. Nabrit
Dean Drummond, Musician and Instrument Maker, Dies at 64	Mr. Drummond, a protégé of Harry Partch’s, shared Mr. Partch’s affinity for microtonality and creating outlandish instruments.	2013-04-18T00:00:00Z	Dean Drummond
Marv Wolfenson, 87, Dies; Led an N.B.A. Rebirth in Minnesota	Mr. Wolfenson and his partner, Harvey Ratner, returned N.B.A. basketball to Minnesota in 1989, nearly 30 years after the Lakers had departed for California.	2013-12-25T00:00:00Z	Marv Wolfenson
Mother and 3 Young Children Are Killed in a House Fire on Long Island	The police said the woman, Jennifer McCusker, 41, was apparently trying to rescue her 2-year-old twins from their cribs when she was overcome by smoke.	2013-10-13T00:00:00Z	Mother and 3 Young Children Are Killed in a House Fire on Long Island
Transit Worker in Queens Is Fatally Struck by a Train	The worker fell from a catwalk area above the tracks and into the path of an E train in Queens, officials said.	2013-04-25T00:00:00Z	Transit Worker in Queens Is Fatally Struck by a Train
Asbury H. Sallenger Jr., Coastal Risks Expert, Dies at 63	Mr. Sallenger led research into the causes and effects of sea level rise, storms and other coastal hazards and was an adviser “in the post-Superstorm Sandy era.”	2013-02-07T00:00:00Z	Asbury H. Sallenger Jr.
Lewis Kornfeld, Made Radio Shack an Early Player in PCs, Dies at 97	In 1977, with Mr. Kornfeld as president, Radio Shack introduced the TRS-80, one of the first mass-market computers for consumers.	2013-08-19T00:00:00Z	Lewis Kornfeld
Jeff Hanneman, Guitarist, Dies at 49	Mr. Hanneman, who was a founder of the band Slayer while still in his teens, helped to create some of the darkest music and imagery in metal.	2013-05-04T00:00:00Z	Jeff Hanneman
Jim Hudson, Who Intercepted Pass to Help Jets Win Title, Dies at 70	Mr. Hudson, whose interception helped defeat the Baltimore Colts in the 1969 Super Bowl, requested that his brain and spine be given to researchers studying sports-related trauma.	2013-06-29T00:00:00Z	Jim Hudson
Bert Stern, Elite Photographer Known for Images of Marilyn Monroe, Dies at 83	Mr. Stern helped redefine advertising and fashion art in the 1950s and ’60s.	2013-06-27T00:00:00Z	Bert Stern
Boruch Spiegel, Fighter in Warsaw Ghetto Uprising, Dies at 93	Mr. Spiegel was one of the last surviving fighters of the 1943 uprising, in which 750 Jews held off German soldiers for over a month with crude arms and Molotov cocktails.	2013-05-26T00:00:00Z	Boruch Spiegel
John Woodward, Leader of British Navy in Falkland Islands War, Dies at 81	Admiral Woodward, as commander of a Royal Navy battle group in 1982, gave the order to sink the Argentine cruiser General Belgrano.	2013-08-08T00:00:00Z	John Woodward
Taliban Are Said to Attack Afghan Police	The reports were a sign of growing casualty rates among forces in Afghanistan, but they were disputed by the government.	2013-09-20T00:00:00Z	Taliban Are Said to Attack Afghan Police
Arthur Rosenthal, Academic Book Publisher, Dies at 93	Mr. Rosenthal led Basic Books in the 1950s and ’60s and led Harvard University Press to solvency in the 1970s and ’80s.	2013-07-09T00:00:00Z	Arthur Rosenthal
Edward Bland, ‘Cry of Jazz’ Filmmaker and Composer, Dies at 86	Mr. Bland’s documentary, released in 1959, explained jazz in the context of black history. He went on to work on commercial and avant-garde musical ventures.	2013-03-27T00:00:00Z	Edward Bland
Questions About Police Response to Killing of a Gay Man in October	The killing of Louis Rispoli, a gay rights activist, has prompted two investigations: one into the crime and the other into why officers first declared that no crime had occurred.	2013-05-23T00:00:00Z	Questions About Police Response to Killing of a Gay Man in October
Ray Manzarek, 74, Keyboardist and a Founder of the Doors, Is Dead	Mr. Manzarek played a key role in creating the group’s psychedelic sound, which could be haunted, meditative and circuslike, but which was also widely imitated.	2013-05-21T00:00:00Z	Ray Manzarek
Jack Greene, Grand Ole Opry Star, Dies at 83	Mr. Greene’s “There Goes My Everything” reached No. 1 on Billboard’s country chart in 1966. Other hits include “All the Time” and “What Locks the Door.”	2013-03-18T00:00:00Z	Jack Greene
Michiaki Takahashi, 85, Who Tamed Chickenpox, Dies	Dr. Takahashi, a researcher of measles and polio viruses, was spurred to action when his 3-year-old son fell ill.	2013-12-22T00:00:00Z	Michiaki Takahashi
Jamestown After the Flood	As the water has drained from the mountains to the plains, it has left a trail of devastation that state officials say will take years to wipe away.	2013-09-22T00:00:00Z	Jamestown After the Flood
